STYLE 1	lines=28-6838	chars=299808	rules=2450	dashboard=376	shared=115	dashboard_only=false	headings=═══════════════════════════════════════════ RESET & VARIABLES — V1 PREMIUM REDESIGN ═══════════════════════════════════════════ | ── Voxera Design Tokens v3.0 ── | Brand | Light Mode
STYLE 24	lines=41286-41319	chars=1316	rules=3	dashboard=2	shared=0	dashboard_only=false	headings=v5.4 Unread indicator policy: genau EIN Signal. Problem: .is-unread::before + Inline-Dot erzeugten doppelte Punkte/Marker. Entscheidung: Der kleine Inline-Punkt im Namen bleibt; Ra | Keine zusätzliche Flächenfarbe für ungelesen; Status soll ruhig bleiben. | Rail-Klassen bleiben neutral; keine zweite Markierung neben dem Inline-Punkt.
STYLE 25	lines=41323-41747	chars=17164	rules=66	dashboard=0	shared=2	dashboard_only=false	headings=v5.5 — Detailpage Header & Button Consistency Scope: Nur Detailheader (#call-detail-banner.vxdr-banner) und Detail-Bottom-Bar. Keine Row-Farben, keine Status-/DB-Logik, keine Save- | ---------- Desktop / Tablet: kompakter, einheitlicher Header ---------- | Einheitliches Button-System im Detailheader | Scroll-Zustand: Header wird nur noch leicht kompakter, ohne harten Layoutsprung.
STYLE 26	lines=41752-41835	chars=2636	rules=9	dashboard=0	shared=1	dashboard_only=false	headings=v5.8 — Detail Action-Bar: inside detail page, not viewport-estimated. Ziel: Die Detail-Aktionsleiste sitzt direkt am unteren Rand der Detailpage. Da die Detailpage selbst oberhalb 
STYLE 27	lines=41838-41940	chars=3609	rules=12	dashboard=0	shared=0	dashboard_only=false	headings=v5.9 — Detail Header Width Alignment Ziel: Der Detail-Header nutzt denselben Content-Container wie die Boxen darunter. Keine DB-/JS-/Statuslogik. Nur Breite, Margin und Padding.
STYLE 28	lines=42226-42235	chars=228	rules=1	dashboard=0	shared=0	dashboard_only=false	headings=VOXERA — completed items: actions are visually read-only
STYLE 29	lines=42238-42281	chars=1869	rules=6	dashboard=6	shared=0	dashboard_only=true	headings=[PR-A/B] Apple-like Selection — kein Balken, nur Background-Tint | Planned/follow-up rows must never display unread visuals; planning is already an operational state.
STYLE 30	lines=42344-42384	chars=1098	rules=7	dashboard=0	shared=0	dashboard_only=false	headings=[PR-C] Instant selection + Row-Rahmen + Konsistentes Detail-Design | 1. Transition sofort für sp-active — kein Delay | 2. Nur dpr-card als Rahmen-Träger, nicht die innere Row | 3. sp-active: kein border-bottom auf der Karte selbst
STYLE 31	lines=42386-42468	chars=2817	rules=9	dashboard=0	shared=0	dashboard_only=false	headings=PR-D/E 2026-05-23 — Anfragen-Inbox: Mail-like Row-State, eine Selection-Quelle. Scope bewusst eng: nur #anrufe-list / #anrufe-split-left, nicht Heute-Tab.
STYLE 32	lines=42470-42792	chars=8740	rules=33	dashboard=2	shared=0	dashboard_only=false	headings=PR-FIX 2026-05-23 — Anfragen Inbox nach Mockup: Mail-like Split-View. Reiner UI-Layer. Keine Detail-V2-Änderung, keine DB-Änderung. | Alte Status-Visuals konsequent entfernen | Apple-like Selection: finale Quelle, nur Background-Tint | Tablet/Mobile: keine Hover-Abhängigkeit
STYLE 33	lines=42796-43064	chars=8492	rules=39	dashboard=0	shared=0	dashboard_only=false	headings=Regression-Fix 2026-05-23 Ziel: Split-Resizer wieder funktionsfähig machen und Row-Actions/Abstände reparieren. Kein Detail-V2-Umbau, keine Timeline, keine DB-Änderung. | 1) Split-View: Resizer muss wieder zwischen linker Inbox und Detail liegen. Das vorherige Mockup-Layer hatte gap:10px + fixe 280px max-width gesetzt. Dadurch war der Schieber optis | Content-Wrapper: kein Overflow wenn Archiv aktiv | Archiv Tab-Page: Viewport-Höhe wie Anfragen-Tab
STYLE 34	lines=43206-43468	chars=8190	rules=32	dashboard=0	shared=0	dashboard_only=false	headings=Row-Stabilisierung v3 — Scope: Anfragen-Inbox links. Ziel: eine Row-Box, kein Flicker, resize-taugliche Filter. | Eine visuelle Box: die innere Row trägt Background/Selection, die dpr-card ist nur Struktur. | Apple-like Selection: keine Card-Fläche + innere Row sofort blau. Dadurch kein Weiss->Blau-Flackern. | Alte Status-Optik vollständig neutralisieren. Status bleibt nur Badge/Text.
STYLE 35	lines=43562-43680	chars=3803	rules=17	dashboard=0	shared=0	dashboard_only=false	headings=PR-H — Inbox Rows finalisieren: resize-stabil, kompakte Actions, reduziertes Menü.
STYLE 36	lines=43802-43839	chars=1402	rules=7	dashboard=0	shared=0	dashboard_only=false	headings=PR-I2 — Unread source-of-truth + mobile overflow positioning.
STYLE 37	lines=44266-44380	chars=3862	rules=24	dashboard=0	shared=0	dashboard_only=false	headings=Filter bleiben auch bei schmaler Split-Spalte sichtbar/bedienbar | Row-Fallback: unbekannter Name wirkt nicht wie eine Telefonnummer als Name | Floating Menüs zuverlässiger schliessen und visuell ruhiger | Unified Action Modals — kompakter, kein verstecktes Notizfeld hinter Footer
STYLE 38	lines=45032-45095	chars=2057	rules=18	dashboard=0	shared=0	dashboard_only=false	headings=PR-O — Detail-V2 fullscreen shell for Heute + Mobile
STYLE 39	lines=45098-45132	chars=4849	rules=33	dashboard=0	shared=0	dashboard_only=false	headings=Detail-V2 styles must apply in split host AND fullscreen host.
STYLE 40	lines=45188-45203	chars=1524	rules=7	dashboard=0	shared=0	dashboard_only=false	headings=
STYLE 41	lines=45399-45416	chars=490	rules=2	dashboard=0	shared=0	dashboard_only=false	headings=Native modal recovery: do not intercept modal clicks. Keep overlays above app and fully interactive.
STYLE 42	lines=45418-45451	chars=3791	rules=29	dashboard=0	shared=0	dashboard_only=false	headings=═══════════════════════════════════════════ VX MODAL REDESIGN — Einheitliche Modals ═══════════════════════════════════════════
STYLE 43	lines=45454-45656	chars=7311	rules=33	dashboard=33	shared=1	dashboard_only=false	headings=Scope nur Heute-Arbeitscockpit. Keine Modal-, Login- oder Detail-Layer-Änderungen.
STYLE 44	lines=45658-45812	chars=5619	rules=7	dashboard=7	shared=0	dashboard_only=true	headings=PR-V6 — Mobile Row Actions Cleanup Scope: mobile row action layout only. No JS, no modal/login/storage/routing changes. Ziel: Heute und Anfragen nutzen mobil dieselbe Struktur: Ico | Shared row surface | Text area must never run below the overflow button. | Row actions: one visible affordance only — overflow.
STYLE 45	lines=46151-46216	chars=6246	rules=33	dashboard=0	shared=0	dashboard_only=false	headings=Root cause: if the first opened entry is a Task, the Call-V2 renderer may not run first, so its runtime-injected base Detail-V2 styles are missing. Keep base Detail-V2 styles stati
STYLE 46	lines=46378-46387	chars=178	rules=1	dashboard=0	shared=0	dashboard_only=false	headings=PR-S/T — right-side empty state polish
STYLE 47	lines=46502-46605	chars=12602	rules=86	dashboard=0	shared=0	dashboard_only=false	headings==== Voxera Audio Player UX V2 — premium compact SaaS layout ===
STYLE 48	lines=46607-46629	chars=860	rules=1	dashboard=0	shared=0	dashboard_only=false	headings=Root-Cause-Fix: Mobile Anfragen-Spalte zu schmal. Ursache: In vx-regression-fix-split-row-layout-2026-05-23 (global, kein Media-Query) steht der Selektor "#tab-anrufe .vx-split #an
